942 2788
216 227 776
695 59 428
344 590 115
506 334 914
596 260 645
12 567 149
549 503 731
265 881 19
853 466 803
158 658 528
381 162 906
913 143 71
650 752 967
220 567 803
136 653 393
511 825 561
661 16 295
94 495 692
642 47 123
12 151 388
275 850 392
367 852 151
938 854 156
177 57 475
564 745 51
383 667 27
899 394 883
720 439 270
329 459 612
448 79 999
705 640 951
200 725 464
452 919 520
597 616 73
299 477 889
821 184 986
706 799 907
113 474 544
756 626 31
718 443 953
489 243 796
15 181 274
667 616 820
925 523 25
729 605 944
921 225 808
79 847 342
456 442 359
914 920 15
551 17 324
163 674 38
800 625 501
818 716 59
544 15 438
237 93 678
35 229 489
185 728 517
313 333 699
770 510 198
752 791 192
914 426 768
266 146 265
554 101 148
260 45 997
379 674 890
10 811 528
828 509 170
506 592 356
241 666 438
29 896 949
805 876 499
734 641 398
204 15 152
329 623 808
847 223 653
291 627 458
643 654 455
688 576 967
740 189 847
284 637 938
189 294 986
4 193 320
430 332 463
778 843 422
286 386 72
937 256 94
697 48 516
174 110 459
728 939 473
423 346 894
814 511 979
122 543 702
124 926 940
691 8 572
941 212 481
734 851 674
556 109 809
908 397 476
393 101 736
488 934 967
157 215 382
827 218 455
497 815 541
77 534 525
714 649 98
157 407 593
6 375 981
248 259 448
120 469 760
519 490 862
40 17 726
99 784 18
306 134 64
58 801 799
882 229 432
458 377 790
746 922 356
566 596 173
1 520 489
247 693 565
663 510 523
735 857 620
623 255 488
771 540 1000
889 573 328
125 439 766
423 765 185
849 294 666
403 476 161
158 691 948
87 367 60
669 55 640
660 341 165
11 519 926
249 696 773
635 786 602
454 305 531
677 930 245
438 64 793
404 221 332
101 470 249
679 527 257
838 884 330
77 386 521
765 438 713
812 571 537
631 527 919
703 369 583
640 358 223
173 517 249
391 268 437
432 794 349
328 933 7
912 930 54
403 723 261
407 263 499
438 865 602
664 144 625
654 147 874
513 174 844
169 811 456
619 589 401
373 273 162
922 293 287
426 845 625
161 795 328
213 245 847
652 576 31
621 228 473
753 322 368
909 350 13
630 228 461
429 110 341
650 820 864
599 872 764
100 36 405
642 300 176
629 541 849
388 870 730
333 809 995
88 665 888
404 744 636
51 266 68
96 75 259
681 199 693
456 372 343
866 185 716
422 362 766
106 445 866
912 846 167
477 214 724
485 125 867
551 735 121
655 199 664
219 803 622
935 878 232
220 280 2
438 526 188
403 419 119
289 287 872
271 718 291
842 233 436
345 836 713
28 517 517
900 71 587
103 70 42
548 159 429
138 517 803
424 591 755
792 160 630
385 432 634
234 443 939
338 671 348
413 796 65
117 477 487
234 449 492
461 776 928
810 242 376
764 600 918
175 416 101
834 6 639
585 29 514
885 742 472
928 294 774
859 512 721
794 34 125
734 140 520
83 80 696
286 299 533
154 411 649
652 351 332
845 672 955
872 871 117
762 803 784
182 693 53
324 248 108
851 542 74
547 186 70
723 287 670
83 190 111
300 418 706
141 678 14
840 769 771
231 749 594
440 575 490
242 927 104
1 185 174
569 145 678
534 809 798
919 158 737
61 58 597
371 607 413
801 747 276
758 549 116
15 181 63
486 144 670
56 387 636
799 61 587
428 329 494
883 486 791
913 869 33
873 454 766
70 403 41
323 200 862
596 811 820
27 366 353
308 855 556
22 576 252
893 231 966
687 639 433
897 576 487
771 298 625
175 613 83
84 618 46
335 602 373
686 434 313
1 763 843
273 923 173
64 935 171
8 66 360
832 288 500
16 415 876
349 293 518
712 544 802
415 265 25
744 129 407
462 619 662
379 923 838
227 560 1
712 560 645
151 495 368
52 682 562
268 289 298
147 323 357
371 44 987
440 79 587
7 942 558
770 382 18
746 96 399
265 611 479
669 600 1
383 677 507
743 733 672
393 394 942
113 905 853
816 417 232
832 870 306
111 7 957
99 508 767
516 744 532
719 826 771
429 88 877
283 117 613
257 269 460
712 150 358
753 875 245
671 271 428
760 610 179
811 903 586
742 98 729
129 136 615
295 428 26
530 142 300
207 466 717
649 421 574
29 411 387
818 34 165
576 819 431
387 500 469
515 163 327
739 347 525
575 641 353
666 744 943
361 147 256
786 245 164
32 766 688
778 139 548
52 839 210
938 726 180
403 575 849
168 586 154
41 893 919
412 537 234
270 920 945
877 327 595
627 816 555
691 163 292
426 575 418
837 366 768
875 812 466
427 546 120
3 644 906
488 864 580
385 154 852
776 939 357
682 375 878
378 586 403
938 33 541
581 128 463
866 929 361
477 188 775
636 95 483
854 715 104
760 767 883
224 618 115
432 800 594
52 828 324
221 456 460
141 774 59
23 87 831
380 368 791
63 417 945
204 582 361
678 202 822
109 251 334
506 912 465
810 604 588
612 306 908
193 876 838
646 73 77
197 697 776
888 872 987
190 611 351
219 876 399
249 145 754
743 365 373
499 441 223
485 878 103
156 230 402
313 238 926
223 265 137
344 33 471
752 919 128
398 406 662
658 66 103
675 695 198
603 281 200
627 410 857
836 118 507
627 541 74
20 381 624
123 474 941
604 190 597
209 61 318
557 325 779
126 137 410
8 88 592
673 875 99
235 105 627
118 557 973
508 332 797
648 425 178
498 182 768
762 862 553
739 289 154
430 44 718
321 269 379
298 656 450
275 645 600
577 285 515
632 374 531
152 658 49
488 221 885
534 700 325
193 20 953
481 881 245
263 105 761
311 410 295
915 581 84
627 604 793
470 727 918
867 346 11
339 358 576
372 49 95
923 852 261
58 571 731
421 774 782
602 48 527
323 918 369
847 365 397
151 455 366
247 399 703
558 582 918
61 234 135
56 177 987
877 550 879
601 823 413
803 475 908
934 165 930
667 869 56
104 212 777
90 937 441
51 695 424
294 727 757
586 931 320
643 280 503
464 56 265
